domain,source_table,source_column,source_key,target_table,target_column,target_key,transformation,code_location,status,evidence,notes
sales_orders,ORDR/RDR1,"DocEntry;DocNum;CardCode;DocDate;ItemCode;Quantity;Price;LineTotal",DocEntry + LineNum,sales_orders_v2/sales_order_lines_v2,"metadata.sap_doc_entry;customer_id;product_id;quantity;unit_price;line_total",id,"Maps order headers/lines into the v2 target relations",packages/sap/mappings/models.go:671-760; packages/sap/schema/tables.go:198-223,CONFIRMED_CORRECT,"ORDR/RDR1 source counts 1/1; target sales_orders_v2/sales_order_lines_v2 counts 1/1","Legacy sales_orders/sales_order_lines relations are not the loaded target relations"
invoices,OINV,"DocEntry;DocNum;DocDate;DocDueDate;CardCode;CardName;DocTotal;PaidToDate;VatSum;DiscPrcnt;DiscSum;DiscSumFC;DocCur;DocStatus;CANCELED;DocType",DocEntry,invoices,"metadata.sap_doc_entry;invoice_number;dates;customer_id;subtotal;discount_amount;tax_amount;total_amount;status",id,"Maps header dates/customer/amounts and OINV.DiscSum to the target header discount; source currency, cancellation, and document type are not carried into the target contract",packages/sap/schema/tables.go:405-423; packages/sap/mappings/models.go:671-900; packages/core/usecase/sap_migration.go:747-760,CONFIRMED_CODE_DEFECT,"OINV 969,665; target header discount weighted aggregates match source exactly; all source DocCur values are SAR but target rows are USD; source has 5,344 canceled Y/C rows","Header monetary DiscSum is correctly mapped; line DiscPrcnt/PriceBefDi and source status/type/currency semantics remain separate gaps"
invoice_lines,INV1,"DocEntry;LineNum;ItemCode;Quantity;Price;PriceBefDi;DiscPrcnt;LineTotal;VatSum;GTotal;UnitMsr",DocEntry + LineNum,invoice_lines,"invoice_id;product_id;quantity;unit_price;line_total;tax_amount;discount_amount;uom_id",id,"Maps quantity/price/line total/tax; omits source DiscPrcnt/PriceBefDi and does not populate target discount_amount, uom_id, or tax reference fields",packages/sap/schema/tables.go:425-439; packages/sap/mappings/models.go:780-835; packages/core/usecase/sap_migration.go:768-787,CONFIRMED_CODE_DEFECT,"Eligible INV1 lines 5,472,485; nonzero DiscPrcnt 2,192,345; target line discount_amount is zero for all lines and target uom_id is NULL for all lines","Exact source -23 is INV1.DocEntry 80306 LineNum 5; target line_total is gross including tax and reconciles, but source discount/UOM evidence is omitted"
invoice_payments,ORCT/RCT2/OINV,"DocEntry;DocNum;DocDate;DocTotal;PaidToDate;InvType",DocEntry + DocNum,invoice_payments,"invoice_id;amount;payment_date",id,"Maps incoming payment allocations and resolves invoice references when an incoming-payment batch is delivered",packages/sap/mappings/models.go:1419-1510; packages/sap/schema/tables.go:254-286; packages/core/usecase/sap_migration.go:806-850,CONFIRMED_CODE_DEFECT,"Source has 961,745 positive AR invoice allocations across 1,329 payment documents; restored target invoice_payments count is 0 and no incoming_payments staging domain is present","Header PaidToDate/status values are present, but payment detail was not delivered to this restored target"
purchase_orders,OPOR/POR1,"DocEntry;DocNum;CardCode;DocDate;ItemCode;Quantity;Price;LineTotal",DocEntry + LineNum,purchase_orders/purchase_order_lines,"metadata.sap_doc_entry;supplier_id;product_id;quantity;unit_price;line_total",id,"Maps headers/lines; target supplier/store keys reconcile for the loaded 2024-2025 slice",packages/sap/mappings/models.go:1034-1173; packages/core/usecase/sap_migration.go:543-562,CONFIRMED_CORRECT,"Target contains 99 POs/1,755 lines matching source 2024-2025 counts; observed supplier/store key mismatch count is 0","Fallback remains a code risk for unresolved keys, but no loaded-key mismatch was observed"
goods_receipts,OPDN/PDN1,"DocEntry;DocNum;CardCode;DocDate;ItemCode;Quantity;Price;LineTotal;BaseEntry;BaseLine;BaseType",DocEntry + LineNum,goods_receipts/goods_receipt_lines,"metadata.sap_doc_entry;purchase_order_id;supplier_id;product_id;quantity;unit_price;line_total",id,"Maps receipt headers/lines; loaded supplier/store keys reconcile, but source PO base links are not resolved into target foreign keys",packages/sap/mappings/models.go:1179-1292; packages/core/usecase/sap_migration.go:609-655,CONFIRMED_CODE_DEFECT,"Target contains 7,128 GRNs/73,639 lines matching the loaded source slice; source has 15 PO-linked GRNs/248 lines, while all target PO link fields are NULL","PO key construction uses the receipt BaseEntry while purchase orders use source DocNum"
stock_movements,OINM,"TransNum;DocDate;ItemCode;Warehouse;InQty;OutQty;TransValue",TransNum,stock_movements,"metadata.sap_trans_num;product_id;store_id;quantity;value",id,"Maps inventory movement rows and resolves product/store without a stable target conflict key",packages/sap/mappings/models.go:1298-1413; packages/sap/schema/tables.go; packages/core/usecase/sap_migration.go:664-682,CONFIRMED_CODE_DEFECT,"Source eligible slice 2,163,651; target rows 2,710,151 with 546,500 excess duplicate rows by sap_trans_num","The restored target demonstrates replay/non-idempotency for the loaded movement slice"
returns,ORIN/RIN1,"DocEntry;DocNum;DocDate;CardCode;DocTotal;DiscPrcnt;DiscSum;ItemCode;Quantity;LineTotal",DocEntry + LineNum,none,none,none,"No extractor, contract, mapper, or target insert was found",packages/sap/schema/tables.go; packages/sap/mappings/models.go; packages/core/usecase/sap_migration.go,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,"ORIN 1,387 and RIN1 7,704 rows exist; migration code references OINV/INV1 only","Credit-note/return parity is not part of the implemented invoice path"
promotions_discounts,OINV/INV1,"DiscPrcnt;DiscSum;DiscSumFC;PriceBefDi;Price;LineTotal",DocEntry + LineNum,invoices/invoice_lines,"discount_amount",id,"Maps OINV.DiscSum to the header discount but does not carry line discount percentage/raw price evidence",packages/sap/schema/tables.go:405-439; packages/sap/mappings/models.go:780-865; packages/core/db/schema/85_zatca.sql:21-163,CONFIRMED_CODE_DEFECT,"Header target discount aggregates match source; 2,192,345 eligible source lines have nonzero DiscPrcnt while all target line discounts are zero","Do not blindly negate or absolute-value source fields; preserve raw percentage and define amount semantics"
currencies,OINV/INV1/ITM1,"DocCur;Currency",DocCur/currency,invoices/product_prices,"currency_code",id,"Product price currency is mapped, but invoice header currency is omitted and falls through to the target default",packages/sap/schema/tables.go:405-439; packages/sap/mappings/models.go:780-865; packages/core/usecase/sap_migration.go:747-760,CONFIRMED_CODE_DEFECT,"All 969,665 source invoice currencies are SAR; all 969,665 target invoice currencies are USD; target currencies includes SAR","Map invoice currency explicitly and validate totals in the source currency"
taxes,OINV/INV1/OITM,"VatSum;VatGourpSa;TaxCode",DocEntry + LineNum,tax_categories/invoices/invoice_lines,"tax_amount;tax_category_id;tax_rate",id,"Copies calculated VAT amounts but does not populate tax master/reference fields",packages/sap/mappings/models.go:671-900; packages/core/usecase/sap_migration.go:768-787,CONFIRMED_CORRECT,"Target tax amounts reconcile exactly; tax_categories has 0 rows and all 5,472,485 target line tax references/rates are NULL","Calculated tax is correct in this audit; tax master/reference migration remains a documentation gap"
reference_status,OINV,"DocStatus;CANCELED;DocSubType;DocType;RetInvoice",DocEntry,invoices,"invoice_status;invoice_type",id,"Status is derived from payment amounts; type and line item type are hardcoded standard/product behavior",packages/sap/schema/tables.go:405-423; packages/sap/mappings/models.go:780-865; packages/core/usecase/sap_migration.go:747-787,CONFIRMED_CODE_DEFECT,"Source has 5,344 canceled Y/C rows and 31 service documents; target has no cancelled status and all 31 service lines are product/null-product","Cancellation and service-document policies are not represented in the loaded output"
accounting_zatca,OINV/INV1,"DocTotal;VatSum;DocCur;RoundDif;DocNum",DocEntry,invoices/invoice_lines,"total_amount;tax_amount;currency_code;invoice_number",id,"Uses SAP monetary fields in invoice payload; ZATCA target schema and total trigger calculate derived totals",packages/core/db/schema/85_zatca.sql:21-199; packages/core/db/schema/90_views_functions.sql:43-73,CONFIRMED_CORRECT,"Target invoice total trigger is present; header formula reconciles to line totals plus VAT and signed DiscSum within 0.02","ZATCA compliance outputs and UUID/QR behavior were not independently audited"
staging,sap_migration_batches,"batch_id;domain;payload;created_at",batch_id,staging.sap_migration_batches,"batch_id;domain;payload",id,"Records compressed batch metadata/payload in a transaction",packages/core/db/schema/95_sap_staging.sql:8-19; packages/core/usecase/sap_migration.go:48-52;879,CONFIRMED_CORRECT,"Staging batch table is written by the use case","staging.sap_stores, staging.sap_products, and staging.sap_inventory are defined but not observed as write targets"
product_types,none,none,none,none,none,none,"No separate product-type extractor, source model, or target write path was observed",packages/sap/mappings/models.go; packages/core/usecase/sap_migration.go,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,"Product grouping is represented through OITB/categories; no independent product-type domain was found","Confirm separately if product type is required by business scope"
variants,none,none,none,none,none,none,"No separate variant extractor or target write path was observed",packages/sap/mappings/models.go; packages/core/usecase/sap_migration.go,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,"No variant-specific source table or mapper was found in the inspected path","Item/UOM relationships are mapped, but that is not evidence of a variant domain"
