requested_domain,target_table_or_object,schema_or_namespace,observed_evidence,key_or_columns_to_validate,classification,notes
storage_locations,public.storage_locations,public,"0 rows",code; store_id,CONFIRMED_SOURCE_DATA_CONDITION,"Source OBIN has 0 rows"
suppliers,public.suppliers,public,"387 rows; source-key coverage 387",supplier_code; business_partner_id,CONFIRMED_CORRECT,"Matches source supplier count"
customers,public.customers,public,"14 rows; source-key coverage 14",customer_code; business_partner_id,CONFIRMED_CORRECT,"Matches source customer count"
business_partners,public.business_partners,public,"401 rows; customer/supplier role counts 14/387",partner_code; roles,CONFIRMED_CORRECT,"Role split matches source OCRD"
partner_addresses,public.partner_addresses,public,"0 rows",partner_id; label; address,CONFIRMED_DATA_MISMATCH,"Source CRD1 contains 1 address row and no partner-address staging domain is present"
sales_orders,public.sales_orders_v2/public.sales_order_lines_v2,public,"1 header and 1 line",metadata.sap_doc_entry; line number,CONFIRMED_CORRECT,"Source ORDR/RDR1 counts are 1/1; legacy sales_orders relations are not the loaded target"
invoice_payments,public.invoice_payments,public,"0 rows; no incoming_payments staging domain",invoice_id; payment_number; payment_amount,CONFIRMED_DATA_MISMATCH,"Source has 961,745 positive AR invoice allocations across 1,329 payment documents"
purchase_documents,public.purchase_orders/public.purchase_order_lines,public,"99 headers; 1,755 lines",metadata.sap_doc_entry; po_number; supplier_id; store_id,CONFIRMED_CORRECT,"Matches source 2024-2025 loaded slice; supplier/store key mismatches are zero"
goods_receipts,public.goods_receipt_notes/public.goods_receipt_note_items,public,"7,128 headers; 73,639 lines",metadata.sap_doc_entry; purchase_order_id; purchase_order_line_id,CONFIRMED_DATA_MISMATCH,"Counts match loaded source slice; all target PO foreign keys are NULL, including 15 source PO-linked GRNs and 248 lines"
stock_movements,public.stock_movements,public,"2,710,151 rows; 2,163,651 distinct metadata.sap_trans_num values",metadata.sap_trans_num; product_id; from_store_id; to_store_id,CONFIRMED_DATA_MISMATCH,"Source eligible OINM slice is 2,163,651; excess duplicate rows are 546,500"
returns,public.sales_returns/public.sales_return_lines,public,"0 rows",source return key; invoice link,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,"Source ORIN/RIN1 are populated but no target migration domain is present"
currencies,public.currencies,public,"9 currency master rows; SAR exists",code; name,CONFIRMED_CORRECT,"Currency master contains source SAR; invoice currency mismatch is caused by mapping/default behavior"
promotions,public.promotions,public,"0 rows",promotion key; product/store relationship,OUT_OF_SCOPE_OR_INTENTIONALLY_IGNORED,"No SAP promotion migration path was confirmed"
reference_status,public invoice enums,public,"invoice_status: paid 969,612; sent 52; partially_paid 1; cancelled 0; invoice_type standard 969,665",status/type values,CONFIRMED_DATA_MISMATCH,"Source has 5,344 canceled Y/C documents and 31 service documents"
mapping_legacy_ids,invoices/invoice_lines/products/stock_movements metadata,public,"SAP source keys are present in JSON metadata; no external_id column is used for invoice reconciliation",metadata.sap_doc_entry; sap_line_num; sap_item_code; sap_trans_num,CONFIRMED_CORRECT,"Use metadata source keys in regression queries"
staging,staging.sap_migration_batches,staging,"Domains include invoices, inventory, stock_movements, products, etc.; invoices has 366 failed batches with record_count_sum 182,686 and empty error text",batch_id; domain; status; record_count; error_message,DOCUMENTATION_GAP,"Failed-batch diagnostics are insufficient to prove row loss; target invoice population is complete against source count"
staging,staging.sap_stores,staging,"0 rows",payload/staging key,CONFIRMED_SOURCE_DATA_CONDITION,"Table exists but this restored artifact did not contain rows"
staging,staging.sap_products,staging,"0 rows",payload/staging key,CONFIRMED_SOURCE_DATA_CONDITION,"Table exists but this restored artifact did not contain rows"
staging,staging.sap_inventory,staging,"0 rows",payload/staging key,CONFIRMED_SOURCE_DATA_CONDITION,"Table exists but inventory rows are represented in public.inventory_stock"
